,Metro station,lon,lat,Number of floors,type,Number of rooms,id,Area,floor,Price
98,Авиамоторная,37.74178480154192,55.73659948644136,45,monolith,3.0,296503334,64.3,30,23107131.0
99,Авиамоторная,37.706622,55.750844,26,monolith,2.0,301045080,56.0,9,25950000.0
100,Авиамоторная,37.7446172143,55.7368476671,29,monolith,2.0,300313480,46.5,8,18348644.0
101,Авиамоторная,37.703577,55.75784,17,panel,3.0,296187258,85.1,1,23900000.0
102,Авиамоторная,37.6996415464,55.7528906503,25,monolith,2.0,300357737,64.2,15,26495340.0
103,Авиамоторная,37.702077,55.751898,27,monolith,2.0,299577441,70.0,2,30880000.0
104,Авиамоторная,37.7432761098,55.7368537206,37,monolith,2.0,296502731,56.4,12,20773260.0
105,Авиамоторная,37.721184,55.749395,5,brick,3.0,300442758,67.0,1,13300000.0
106,Авиамоторная,37.6895080934,55.752530851,27,monolith,2.0,300357587,65.2,6,27638280.0
107,Авиамоторная,37.721184,55.749395,5,brick,2.0,300865618,67.0,1,13300000.0
108,Авиамоторная,37.74461721426029,55.73684766710628,29,monolith,2.0,296502467,58.9,20,22866696.0
109,Авиамоторная,37.704691,55.757749,22,monolith,3.0,287613545,95.9,2,26000000.0
110,Авиамоторная,37.6910374791,55.7529277318,14,monolith,3.0,300357898,94.6,12,37773780.0
111,Авиамоторная,37.703999,55.747687,5,brick,3.0,297558446,79.2,4,20900000.0
112,Авиамоторная,37.6996415464,55.7528906503,25,monolith,3.0,300357667,84.0,11,31256400.0
113,Авиамоторная,37.685072,55.751913,27,monolith,2.0,296165339,56.1,10,23000000.0
114,Авиамоторная,37.6895080934,55.752530851,27,monolith,2.0,300357589,70.6,26,30266220.0
115,Авиамоторная,37.698672,55.750195,27,monolith,2.0,301160797,39.8,12,31000000.0
116,Авиамоторная,37.7446172143,55.7368476671,29,monolith,2.0,298540701,51.3,11,19381813.0
117,Авиамоторная,37.701053,55.751285,14,monolith,2.0,294673101,59.7,14,29320000.0
118,Авиамоторная,37.74327610975353,55.73685372060559,37,monolith,2.0,296502711,48.3,29,18494701.0
119,Авиамоторная,37.698672,55.750195,27,monolith,3.0,301158774,83.5,10,58000000.0
120,Авиамоторная,37.6895080934103,55.7525308509895,27,monolith,2.0,300357628,75.8,12,32518200.0
