floor,count_floors,rooms,square,district,price
3,33,1,35.0,9,16800000
14,25,1,32.2,9,18800000
37,53,1,37.6,9,18000000
18,21,1,46.7,9,17800000
19,21,1,48.6,9,18500000
2,28,1,38.3,9,19900000
2,28,1,40.8,9,21200000
8,62,1,39.3,9,21000000
24,28,1,38.3,9,20500000
6,36,1,34.0,9,20400000
15,36,1,32.8,9,16600000
28,29,2,51.0,9,30000000
9,41,2,64.2,9,35800000
24,24,2,57.4,9,33100000
27,58,2,60.1,9,27000000
8,36,2,71.0,9,42500000
13,36,2,63.5,9,38100000
39,43,2,68.0,9,37900000
5,43,2,49.3,9,27200000
17,17,2,58.5,9,21400000
17,46,2,46.0,9,25600000
14,24,2,59.0,9,34400000
9,29,2,49.18,9,26200000
17,29,2,49.1,9,26100000
12,29,2,56.2,9,33000000
25,33,2,68.2,9,34100000
2,20,2,45.0,9,24200000
7,49,2,67.8,9,29100000
28,47,2,53.2,9,22800000
10,25,2,56.0,9,29700000
6,32,2,69.9,9,34900000
16,17,2,48.5,9,19200000
17,42,2,46.0,9,25600000
30,32,2,70.0,9,32900000
29,33,2,78.2,9,39100000
14,49,2,55.0,9,28400000
2,17,2,60.1,9,25800000
11,43,2,67.1,9,31000000
3,12,2,45.0,9,14200000
8,9,2,40.0,9,12800000
10,58,4,106.0,9,57100000
38,58,4,108.6,9,58500000
30,53,4,107.0,9,57600000
11,58,4,108.2,9,46100000
41,53,4,108.5,9,46200000
28,29,4,117.0,9,70800000
35,36,4,101.0,9,52500000
9,31,4,123.0,9,46300000
20,22,4,200.0,9,116500000
11,17,4,144.8,9,48200000
11,22,4,86.3,9,45600000
11,16,4,119.0,9,48600000
28,29,4,116.2,9,70300000
17,19,4,140.4,9,73800000
7,19,4,140.7,9,65000000
8,19,4,140.0,9,62400000
33,37,4,152.0,9,67000000
13,19,4,170.0,9,93500000
3,9,4,63.0,9,18700000
12,19,3,84.0,9,49200000
18,19,3,98.2,9,50100000
10,25,3,91.0,9,40300000
11,58,3,81.0,9,41300000
23,25,3,81.0,9,35900000
23,43,3,83.5,9,38000000
31,53,3,82.5,9,42100000
21,36,3,86.5,9,45800000
18,19,3,98.2,9,46500000
18,19,3,98.2,9,50100000
10,21,3,92.6,9,38400000
36,53,3,82.5,9,34000000
2,19,3,99.0,9,57300000
7,47,3,76.1,9,31000000
13,22,3,94.0,9,63200000
5,24,3,72.2,9,32000000
3,5,3,54.7,9,17900000
4,25,3,72.2,9,32000000
21,24,3,87.1,9,58500000
1,3,3,229.0,9,139900000
3,24,3,104.0,9,39400000
17,36,3,75.6,9,30100000
18,20,3,100.8,9,38400000
6,36,3,97.0,9,52100000
7,9,3,59.2,9,16900000
4,5,3,55.3,9,18300000
15,21,3,77.0,9,30500000
4,30,3,72.2,9,32000000
10,37,3,85.5,9,36500000
30,58,3,52.0,9,27400000
8,24,3,79.0,9,31300000
41,53,3,83.0,9,34300000
41,53,3,97.9,9,40400000
12,19,3,84.0,9,49200000
18,19,3,98.2,9,50100000
10,25,3,91.0,9,40300000
11,58,3,81.0,9,41300000
23,25,3,81.0,9,35900000
23,43,3,83.5,9,38000000
31,53,3,82.5,9,42100000
21,36,3,86.5,9,45800000
18,19,3,98.2,9,46500000
18,19,3,98.2,9,50100000
10,21,3,92.6,9,38400000
36,53,3,82.5,9,34000000
2,19,3,99.0,9,57300000
7,47,3,76.1,9,31000000
13,22,3,94.0,9,63200000
5,24,3,72.2,9,32000000
3,5,3,54.7,9,17900000
4,25,3,72.2,9,32000000
21,24,3,87.1,9,58500000
1,3,3,229.0,9,139900000
3,24,3,104.0,9,39400000
17,36,3,75.6,9,30100000
18,20,3,100.8,9,38400000
6,36,3,97.0,9,52100000
7,9,3,59.2,9,16900000
4,5,3,55.3,9,18300000
15,21,3,77.0,9,30500000
4,30,3,72.2,9,32000000
10,37,3,85.5,9,36500000
30,58,3,52.0,9,27400000
28,29,2,51.0,9,30000000
9,41,2,64.2,9,35800000
24,24,2,57.4,9,33100000
27,58,2,60.1,9,27000000
8,36,2,71.0,9,42500000
13,36,2,63.5,9,38100000
39,43,2,68.0,9,37900000
5,43,2,49.3,9,27200000
17,17,2,58.5,9,21400000
17,46,2,46.0,9,25600000
14,24,2,59.0,9,34400000
9,29,2,49.18,9,26200000
17,29,2,49.1,9,26100000
12,29,2,56.2,9,33000000
25,33,2,68.2,9,34100000
2,20,2,45.0,9,24200000
7,49,2,67.8,9,29100000
28,47,2,53.2,9,22800000
10,25,2,56.0,9,29700000
6,32,2,69.9,9,34900000
16,17,2,48.5,9,19200000
17,42,2,46.0,9,25600000
30,32,2,70.0,9,32900000
29,33,2,78.2,9,39100000
14,49,2,55.0,9,28400000
2,17,2,60.1,9,25800000
11,43,2,67.1,9,31000000
3,12,2,45.0,9,14200000
8,9,2,40.0,9,12800000
5,9,2,43.0,9,15600000
15,30,2,36.0,9,18200000
8,9,2,49.0,9,20200000
18,24,2,46.2,9,23500000
14,23,2,47.5,9,19800000
21,30,2,38.0,9,20300000
28,29,2,51.0,9,30000000
11,21,2,42.7,9,21600000
9,30,2,49.8,9,29300000
17,30,2,49.1,9,28800000
5,24,2,58.0,9,33600000
5,19,2,52.0,9,29500000
29,43,2,67.8,9,31400000
13,23,2,73.7,9,30700000
30,37,2,69.5,9,32700000
2,22,2,80.0,9,39600000
19,20,2,70.0,9,38700000
8,14,2,90.2,10,43000000
7,9,2,44.5,10,20500000
4,14,4,86.6,10,45300000
8,14,4,125.0,10,68800000
5,5,3,137.6,10,50400000
2,4,3,62.0,10,23900000
4,12,3,60.0,10,24200000
3,7,3,74.0,10,27600000
9,10,3,58.0,10,18400000
2,4,3,129.0,10,38800000
5,5,3,137.6,10,50400000
2,4,3,62.0,10,23900000
4,12,3,60.0,10,24200000
3,7,3,74.0,10,27600000
9,10,3,58.0,10,18400000
2,4,3,129.0,10,38800000
8,14,2,90.2,10,43000000
7,9,2,44.5,10,20500000
9,9,2,41.0,10,14900000
2,25,1,37.0,11,8600000
63,66,1,86.0,12,83900000
51,75,1,123.0,12,100100000
21,26,1,40.0,12,28600000
4,13,1,60.9,12,43500000
63,66,1,86.0,12,83900000
12,85,1,89.0,12,64600000
4,13,1,43.6,12,42300000
14,21,1,144.0,12,144300000
3,5,1,31.0,12,14900000
32,44,1,49.5,12,34300000
35,68,1,51.4,12,46200000
14,17,2,69.0,12,74300000
17,18,2,117.0,12,127400000
25,76,2,105.0,12,74200000
33,44,2,62.0,12,41300000
5,27,2,72.0,12,39300000
34,78,2,76.1,12,67100000
12,79,2,61.0,12,56800000
4,17,2,44.5,12,43600000
43,78,2,81.0,12,71400000
40,78,2,76.0,12,67000000
32,78,2,65.0,12,57300000
50,78,2,86.0,12,75800000
79,95,2,72.9,12,60300000
3,21,2,56.6,12,58900000
54,67,2,82.0,12,72300000
10,79,2,62.0,12,54700000
43,73,2,123.0,12,114600000
8,21,2,51.0,12,38600000
14,21,2,144.0,12,161900000
16,20,2,67.0,12,61200000
2,7,2,60.4,12,36700000
50,75,2,107.6,12,84100000
3,21,2,56.58,12,62000000
3,7,2,40.2,12,30600000
3,7,2,45.0,12,34200000
4,12,2,61.0,12,39500000
7,9,2,55.1,12,37800000
8,21,2,59.0,12,64600000
46,75,2,114.2,12,89200000
7,21,2,73.0,12,78600000
43,75,2,101.0,12,78900000
46,75,2,114.2,12,89200000
47,78,2,72.0,12,63500000
37,78,2,73.0,12,64400000
4,20,2,65.1,12,59100000
51,75,2,123.0,12,96100000
9,12,2,38.3,12,15700000
2,7,2,64.0,12,34900000
4,6,2,68.0,12,39500000
12,13,2,60.0,12,46900000
6,22,2,85.0,12,42700000
6,17,2,84.0,12,82300000
43,77,2,123.0,12,108400000
6,17,4,146.0,12,149900000
6,17,4,146.0,12,149900000
11,24,4,212.0,12,118800000
11,24,4,212.0,12,118800000
6,6,4,169.0,12,97300000
16,21,4,154.0,12,173700000
7,21,4,137.0,12,154500000
4,5,4,177.4,12,299500000
28,65,4,228.4,12,166300000
3,5,4,169.7,12,175500000
4,12,4,212.0,12,271800000
8,21,4,188.0,12,154400000
63,79,4,225.0,12,215800000
5,21,4,136.0,12,107000000
9,18,4,165.9,12,147000000
6,14,4,170.0,12,97000000
12,22,4,160.0,12,87900000
6,13,4,146.0,12,159600000
4,6,4,101.7,12,73500000
2,5,4,161.0,12,166800000
6,17,4,146.0,12,133400000
4,4,4,133.0,12,95900000
4,4,4,133.2,12,96100000
5,5,4,116.0,12,87500000
14,50,4,100.0,12,59800000
8,18,4,122.6,12,137400000
8,53,4,100.0,12,59800000
15,15,4,237.0,12,266400000
4,51,4,100.0,12,59800000
9,18,4,165.9,12,147000000
55,95,4,296.0,12,224300000
5,8,4,164.0,12,132700000
5,25,4,171.3,12,86500000
5,18,4,163.7,12,132500000
44,65,4,192.0,12,139800000
35,73,4,185.6,12,114800000
11,13,4,141.0,12,89600000
2,6,4,123.0,12,83600000
7,41,4,105.04,12,43100000
5,5,4,101.2,12,93100000
15,21,4,178.0,12,146200000
11,17,4,160.18,12,161500000
16,18,4,141.0,12,114100000
5,20,4,165.0,12,133500000
2,4,4,141.1,12,171500000
6,53,4,100.0,12,59800000
16,20,4,90.0,12,72800000
2,6,4,135.2,12,100800000
4,5,4,160.0,12,115400000
7,12,4,172.5,12,102600000
15,21,4,200.0,12,129800000
2,6,4,162.4,12,99400000
5,5,4,210.0,12,142800000
2,8,4,125.8,12,171900000
9,18,4,165.0,12,146200000
44,69,4,190.4,12,138600000
13,21,4,160.0,12,207700000
10,20,4,205.7,12,166500000
2,6,3,110.5,12,84800000
2,21,3,115.0,12,115400000
26,75,3,185.0,12,127500000
53,75,3,224.0,12,154400000
4,7,3,131.4,12,84700000
